Sentence,label
Multi - Perspective Context Matching for Machine Comprehension,research-problem
"Previous machine comprehension ( MC ) datasets are either too small to train endto - end deep learning models , or not difficult enough to evaluate the ability of current MC techniques .",research-problem
We process the corpus with the tokenizer from Stanford CorNLP .,experimental-setup
"To initialize the word embeddings in the word representation layer , we use the 300 - dimensional GloVe word vectors pre-trained from the 840B Common Crawl corpus .",experimental-setup
"For the out - of - vocabulary ( OOV ) words , we initialize the word embeddings randomly .",experimental-setup
"We set the hidden size as 100 for all the LSTM layers , and set the number of perspectives l of our multiperspective matching function ( Equation ( 5 ) ) as 50 .",experimental-setup
We set the learning rate as 0.0001 .,experimental-setup
"We apply dropout to every layers in , and set the dropout ratio as 0.2 .",experimental-setup
"To train the model , we minimize the cross entropy of the be - ginning and end points , and use the ADAM optimizer to update parameters .",experimental-setup
We can see that removing any components from the MPCM model decreases the performance significantly .,ablation-analysi
"Among all the layers , the Aggregation Layer is the most crucial layer .",ablation-analysi
"Among all the matching strategies , Maxpooling - Matching has the biggest effect .",ablation-analysi
"First , we explore the effect of additional information by adopting a pretrained language model ( LM ) to compute the vector representation of the input text .",approach
"Last , we explore the effect of different objective functions ( listwise and pointwise learning ) .",approach
"Following this study , we select an ELMo language model for this study .",approach
"We investigate the applicability of transfer learning ( TL ) using a large - scale corpus that is created for a relevant - sentence - selection task ( i.e. , question - answering NLI ( QNLI ) dataset ) .",approach
"Second , we further enhance one of the baseline models , Comp - Clip ( refer to the discussion in 3.1 ) , for the target QA task by proposing a novel latent clustering ( LC ) method .",approach
The LC method computes latent cluster information for target samples by creating a latent memory space and calculating the similarity between the sample and the memory .,approach
"By an endto - end learning process with the answer-selection task , the LC method assigns true - label question - answer pairs to similar clusters .",approach
"Wiki QA : For the WikiQA dataset , the pointwise learning approach shows a better performance than the listwise learning approach .",result
We combine LM with the base model ( Comp - Clip + LM ) and observe a significant improvement in performance in terms of MAP ( 0.714 to 0.746 absolute ) .,result
"When we add the LC method ( Comp - Clip + LM + LC ) , the best previous results are surpassed in terms of MAP ( 0.718 to 0.764 absolute ) .",result
The pointwise learning approach also shows excellent performance with the TREC - QA dataset .,result
"In particular , our model outperforms the best previous result when we add LC method , ( Comp - Clip + LM + LC ) in terms of MAP ( 0.865 to 0.868 ) .",result
"As in the WikiQA case , we achieve additional performance gains in terms of the MAP as we apply LM , LC , and TL ( 0.850 , 0.868 and 0.875 , respectively ) .",result
A Compare - Aggregate Model with Latent Clustering for Answer Selection,research-problem
"In this paper , we propose a novel method for a sentence - level answer- selection task that is a fundamental problem in natural language processing .",research-problem
Automatic question answering ( QA ) is a primary objective of artificial intelligence .,research-problem
"Except for the Copy task , which is too simple , other tasks observe convergence speed improvement of NUTM over that of NTM , thereby validating the benefit of using two programs across timesteps even for the single task setting .",result
NUTM requires fewer training samples to converge and it generalizes better to unseen sequences that are longer than training sequences .,result
Our goal is to advance a step further towards UTM by coupling a MANN with an external program memory .,model
"The program memory co-exists with the data memory in the MANN , providing more flexibility , reuseability and modularity in learning complicated tasks .",model
"The program memory stores the weights of the MANN 's controller network , which are retrieved quickly via a key - value attention mechanism across timesteps yet updated slowly via backpropagation .",model
"By introducing a meta network to moderate the operations of the program memory , our model , henceforth referred to as Neural Stored - program Memory ( NSM ) , can learn to switch the programs / weights in the controller network appropriately , adapting to different functionalities aligning with different parts of a sequential task , or different tasks in continual and few - shot learning .",model
Neural Stored - program Memory,research-problem
"In this paper , we introduce a new memory to store weights for the controller , analogous to the stored - program memory in modern computer architectures .",research-problem
"Interestingly , we observe that feature engineering leads to significant improvements for WDW and CBT datasets , but not for CNN and Daily Mail datasets .",result
"Similarly , fixing the word embeddings provides an improvement for the WDW and CBT , but not for CNN and Daily Mail .",result
"Comparing with prior work , on the WDW dataset the basic version of the GA Reader outperforms all previously published models when trained on the Strict setting .",result
"Lastly , on CBT - CN the GA Reader with the qe-comm feature outperforms all previously published single models except the NSE , and AS Reader trained on a larger corpus .",result
By adding the qecomm feature the performance increases by 3.2 % and 3.5 % on the Strict and Relaxed settings respectively to set a new state of the art on this dataset .,result
On the CNN and Daily Mail datasets the GA Reader leads to an improvement of 3.2 % and 4.3 % respectively over the best previous single models .,result
"For CBT - NE , GA Reader with the qecomm feature outperforms all previous single and ensemble models except the AS Reader trained on the much larger BookTest Corpus .",result
"More specifically , unlike existing models where the query attention is applied either token - wise or sentence - wise to allow weighted aggregation , the Gated - Attention ( GA ) module proposed in this work allows the query to directly interact with each dimension of the token embeddings at the semantic - level , and is applied layer - wise as information filters during the multi-hop representation learning process .",model
"Such a fine - grained attention enables our model to learn conditional token representations w.r.t. the given question , leading to accurate answer selections .",model
Gated - Attention Readers for Text Comprehension,research-problem
A recent trend to measure progress towards machine reading is to test a system 's ability to answer questions about a document it has to comprehend .,research-problem
Source code is available on github : https:// github.com/bdhingra/ga-reader,code
"Next , we observe a substantial drop when removing tokenspecific attentions over the query in the GA module , which allow gating individual tokens in the document only by parts of the query relevant to that token rather than the over all query representation .",ablation-analysi
"Finally , removing the character embeddings , which were only used for WDW and CBT , leads to a reduction of about 1 % in the performance .",ablation-analysi
"In this paper , we instead take the approach of converting questions to ( uninterpretable ) vectorial representations which require no pre-defined grammars or lexicons and can query any KB independent of its schema .",approach
"Following , we focus on answering simple factual questions on a broad range of topics , more specifically , those for which single KB triples stand for both the question and an answer ( of which there maybe many ) .",approach
Our approach is based on learning low - dimensional vector embeddings of words and of KB triples so that representations of questions and corresponding answers end up being similar in the embedding space .,approach
"In order to avoid transferring the cost of manual intervention to the one of labeling large amounts of data , we make use of weak supervision .",approach
We show empirically that our model is able to take advantage of noisy and indirect supervision by ( i ) automatically generating questions from KB triples and treating this as training data ; and ( ii ) supplementing this with a data set of questions collaboratively marked as paraphrases but with no associated answers .,approach
We end up learning meaningful vectorial representations for questions involving up to 800 k words and for triples of an mostly automatically created KB with 2.4 M entities and 600 k relationships .,approach
"First , we can see that multitasking with paraphrase data is essential since it improves F1 from 0.60 to 0.68 .",result
Fine - tuning the embedding model is very beneficial to optimize the top of the list and grants a bump of 5 points of F1 : carefully tuning the similarity makes a clear difference .,result
"All versions of our system greatly outperform paralex : the fine - tuned model improves the F1 - score by almost 20 points and , according to , is better in precision for all levels of recall .",result
"As expected , string matching greatly improves results , both in precision and recall , and also significantly reduces evaluation time .",result
"The final F1 obtained by our fine - tuned model is even better then the result of paralex in reranking , which is pretty remarkable , because this time , this setting advantages it quite a lot .",result
Open Question Answering with Weakly Supervised Embedding Models,research-problem
"This paper addresses the challenging problem of open - domain question answering , which consists of building systems able to answer questions from any domain .",research-problem
Question answering is then defined as the task of retrieving the correct entity or set of entities from a KB given a query expressed as a question in natural language .,research-problem
"In this work , we propose an end - to - end question - focused multi-factor attention network for document - based question answering ( AMANDA ) , which learns to aggregate evidence distributed across multiple sentences and identifies the important question words to help extract the answer .",model
"Intuitively , AMANDA extracts the answer not only by synthesizing relevant facts from the passage but also by implicitly determining the suitable answer type during prediction .",model
A Question - Focused Multi- Factor Attention Network for Question Answering,research-problem
Neural network models recently proposed for question answering ( QA ) primarily focus on capturing the passagequestion relation .,research-problem
They also do not explicitly focus on the question and answer type which often plays a critical role in QA .,research-problem
"In machine comprehension - based ( MC ) question answering ( QA ) , a machine is expected to provide an answer for a given question by understanding texts .",research-problem
We tokenize the corpora with NLTK 2 .,experimental-setup
"We use the 300 dimension pre-trained word vectors from GloVe ( Pennington , Socher , and Manning 2014 ) and we do not update them during training .",experimental-setup
We use 50 - dimension character - level embedding vectors .,experimental-setup
We use dropout ) with probability 0.3 for every learnable layer .,experimental-setup
We use the Adam optimizer with learning rate of 0.001 and clipnorm of 5 .,experimental-setup
The out - of - vocabulary words are initialized with zero vectors .,experimental-setup
The number of hidden units in all the LSTMs is 150 .,experimental-setup
"For multi-factor attentive encoding , we choose 4 factors ( m ) based on our experimental findings ( refer to ) .",experimental-setup
"During training , the minibatch size is fixed at 60 .",experimental-setup
"In this paper we explore three semantic aspects of story understanding : ( i ) the sequence of events described in the story , ( ii ) the evolution of sentiment and emotional trajectories , and ( iii ) topical consistency .",model
"The first aspect is motivated from approaches in semantic script induction , and evaluates if events described in an ending - alternative are likely to occur within the sequence of events described in the preceding context .",model
Our model captures this by evaluating if the sentiment described in an ending option makes sense considering the context of the story .,model
Our model accounts for that by analyzing if the topic of an ending option is consistent with the preceding context .,model
We present a log - linear model that is used to weigh the various aspects of the story using a hidden variable .,model
Story Comprehension for Predicting What Happens Next,research-problem
"Automatic story comprehension is a fundamental challenge in Natural Language Understanding , and can enable computers to learn about social norms , human behavior and commonsense .",research-problem
"For these reasons , automatically understanding stories is an interesting but challenging task for Computational Linguists .",research-problem
"Recently , introduced the story - cloze task for testing this ability , albeit without the aspect of language generation .",research-problem
shows the performance of a logistic regression model trained using all the features ( All ) and then using individual feature - groups .,ablation-analysi
"We can see that the features extracted from the aspect analyzing the event - sequence have the strongest predictive power , followed by those characterizing Sentiment - trajectory .",ablation-analysi
The features measuring top - ical consistency result in lowest accuracy but they still perform better than random on the task .,ablation-analysi
"In this work , to alleviate such an obvious shortcoming about semantics , we make attempt to explore integrative models for finer - grained text comprehension and inference .",model
"In this work , we propose a semantics enhancement framework for TC tasks , which boosts the strong baselines effectively .",model
We implement an easy and feasible scheme to integrate semantic signals in downstream neural models in end - to - end manner to boost strong baselines effectively .,model
Explicit Contextual Semantics for Text Comprehension,research-problem
"This paper focuses on two core text comprehension ( TC ) tasks , machine reading comprehension ( MRC ) and textual entailment ( TE ) .",research-problem
Multi-range Reasoning for Machine Comprehension,research-problem
"We propose MRU ( Multi - Range Reasoning Units ) , a new fast compositional encoder for machine comprehension ( MC ) .",research-problem
"While the usage of recurrent encoder is often regarded as indispensable in highly complex MC tasks , there are still several challenges and problems pertaining to it 's usage in modern MC tasks .",research-problem
We implement all models in TensorFlow .,experimental-setup
Word embeddings are initialized with 300d Glo Ve vectors and are not fine - tuned during training .,experimental-setup
"Dropout rate is tuned amongst { 0.1 , 0.2 , 0.3 } on all layers including the embedding layer .",experimental-setup
The batch size is set to 64/256/32 accordingly .,experimental-setup
The maximum sequence lengths are 500/200/1100 respectively .,experimental-setup
We adopt the Adam optimizer with a learning rate of 0.0003/ 0.001/0.001 for RACE / SearchQA / NarrativeQA respectively .,experimental-setup
All models are trained and all runtime benchmarks are based on a TitanXP GPU .,experimental-setup
"Our work exploits this in the context of a simple one - to - many multi -task learning ( MTL ) framework , wherein a single recurrent sentence encoder is shared across multiple tasks .",approach
"While our work aims at learning fixed - length distributed sentence representations , it is not always practical to assume that the entire "" meaning "" of a sentence can be encoded into a fixed - length vector .",approach
The primary contribution of our work is to combine the benefits of diverse sentence - representation learning objectives into a single multi-task framework .,approach
It is evident from that adding more tasks improves the transfer performance of our model .,result
Increasing the capacity our sentence encoder with more hidden units ( + L ) as well as an additional layer ( + 2L ) also lead to improved transfer performance .,result
"We observe gains of 1.1 - 2.0 % on the sentiment classification tasks ( MR , CR , SUBJ & MPQA ) over Infersent .",result
"For example , we observe a 0.2-0.5 % improvement over the decomposable attention model .",result
"We demonstrate substantial gains on TREC ( 6 % over Infersent and roughly 2 % over the CNN - LSTM ) , outperforming even a competitive supervised baseline .",result
"We see similar gains ( 2.3 % ) on paraphrase identification ( MPRC ) , closing the gap on supervised approaches trained from scratch .",result
The addition of constituency parsing improves performance on sentence relatedness ( SICK - R ) and entailment ( SICK - E ) consistent with observations made by .,result
"In , we show that simply training an MLP on top of our fixed sentence representations outperforms several strong & complex supervised approaches that use attention mechanisms , even on this fairly large dataset .",result
"When using only a small fraction of the training data , indicated by the columns 1 k - 25 k , we are able to outperform the Siamese and Multi - Perspective CNN using roughly 6 % of the available training set .",result
We also outperform the Deconv LVM model proposed by in this low - resource setting .,result
Representations learned solely from NLI do appear to encode syntax but incorporation into our multi-task framework does not amplify this signal .,result
"Somewhat surprisingly , in we observe that the learned word embeddings are competitive with popular methods such as GloVe , word2vec , and fasttext on the benchmarks presented by and .",result
"Similarly , we observe that sentence characteristics such as length and word order are better encoded with the addition of parsing .",result
Published as a conference paper at ICLR 2018 LEARNING GENERAL PURPOSE DISTRIBUTED SEN - TENCE REPRESENTATIONS VIA LARGE SCALE MULTI - TASK LEARNING,research-problem
A lot of the recent success in natural language processing ( NLP ) has been driven by distributed vector representations of words trained on large amounts of text in an unsupervised manner .,research-problem
"However , extending this success to learning representations of sequences of words , such as sentences , remains an open problem .",research-problem
Some recent work has addressed this by learning general - purpose sentence representations .,research-problem
"In paragraph selection stage , we use the uncased version of BERT Tokenizer to tokenize all passages and questions .",hyperparameter
"In graph construction stage , we use a pretrained NER model from Stanford CoreNLP Toolkits 1 to extract named entities .",hyperparameter
"In the encoding stage , we also use a pre-trained BERT model as the encoder , thus d 1 is 768 .",hyperparameter
The encoding vectors of sentence pairs are generated from a pre-trained BERT model .,hyperparameter
The maximum number of entities in a graph is set to be 40 .,hyperparameter
Each entity node in the entity graphs has an average degree of 3.52 .,hyperparameter
All the hidden state dimensions d 2 are set to 300 .,hyperparameter
We set a relatively low threshold during selection to keep a high recall ( 97 % ) and a reasonable precision ( 69 % ) on supporting facts .,hyperparameter
We set the dropout rate for all hidden units of LSTM and dynamic graph attention to 0.3 and 0.5 respectively .,hyperparameter
"For optimization , we use Adam Optimizer with an initial learning rate of 1 e ?4 .",hyperparameter
Dynamically Fused Graph Network for Multi-hop Reasoning,research-problem
Text - based question answering ( TBQA ) has been studied extensively in recent years .,research-problem
Question answering ( QA ) has been a popular topic in natural language processing .,research-problem
QA provides a quantifiable way to evaluate an NLP system 's capability on language understanding and reasoning .,research-problem
"Our proposed model , called dynamic chunk reader ( DCR ) , not only significantly differs from both the above systems in the way that answer candidates are generated and ranked , but also shares merits with both works .",model
"First , our model uses deep networks to learn better representations for candidate answer chunks , instead of using fixed feature representations as in .",model
"Second , it represents answer candidates as chunks , as in ( Rajpurkar et al. ) , instead of word - level representations , to make the model aware of the subtle differences among candidates ( importantly , overlapping candidates ) .",model
End - to - End Answer Chunk Extraction and Ranking for Reading Comprehension,research-problem
"This paper proposes dynamic chunk reader ( DCR ) , an end - toend neural reading comprehension ( RC ) model that is able to extract and rank a set of answer candidates from a given document to answer questions .",research-problem
Reading comprehension - based question answering ( RCQA ) is the task of answering a question with a chunk of text taken from related document ( s ) .,research-problem
"Different from the above two assumptions for RCQA , in the real - world QA scenario , people may ask questions about both entities ( factoid ) and non-entities such as explanations and reasons ( non -factoid ) ( see for examples ) .",research-problem
We pre-processed the SQuAD dataset using Stanford CoreNLP tool 5 with its default setting to tokenize the text and obtain the POS and NE annotations .,experimental-setup
"To train our model , we used stochastic gradient descent with the ADAM optimizer , with an initial learning rate of 0.001 .",experimental-setup
"All GRU weights were initialized from a uniform distribution between ( - 0.01 , 0.01 ) .",experimental-setup
"The hidden state size , d , was set to 300 for all GRUs .",experimental-setup
We trained in mini-batch style ( mini - batch size is 180 ) and applied zero - padding to the passage and question inputs in each batch .,experimental-setup
"We also applied dropout of rate 0.2 to the embedding layer of input bi - GRU encoder , and gradient clipping when the norm of gradients exceeded 10 .",experimental-setup
"We also set the maximum passage length to be 300 tokens , and pruned all the tokens after the 300 - th token in the training set to save memory and speedup the training process .",experimental-setup
"We trained the model for at most 30 epochs , and in case the accuracy did not improve for 10 epochs , we stopped training .",experimental-setup
"For the feature ranking - based system , we used jforest ranker ( Ganjis affar , Caruana , and Lopes 2011 ) with Lambda MART - Regression Tree algorithm and the ranking metric was NDCG @ 10 .",experimental-setup
"First , replacing the word - by - word attention with Attentive Reader style attention decreases the EM score by about 4.5 % , showing the strength of our proposed attention mechanism .",ablation-analysi
The result shows that POS feature ( 1 ) and question - word feature ( 3 ) are the two most important features .,ablation-analysi
"Finally , combining the DCR model with the proposed POS - trie constraints yields a score similar to the one obtained using the DCR model with all possible n-gram chunks .",ablation-analysi
"The sum of words model performed slightly worse than the fundamentally similar lexicalized classifier while the sum of words model can use pretrained word embeddings to better handle rare words , it lacks even the rudimentary sensitivity to word order that the lexicalized model 's bigram features provide .",result
"While the lexicalized model fits the training set almost perfectly , the gap between train and test set accuracy is relatively small for all three neural network models , suggesting that research into significantly higher capacity versions of these models would be productive .",result
"In addition , though the LSTM and the lexicalized model show similar performance when trained on the current full corpus , the somewhat steeper slope for the LSTM hints that its ability to learn arbitrarily structured representations of sentence meaning may give it an advantage over the more constrained lexicalized model on still larger datasets .",result
"Of the two RNN models , the LSTM 's more robust ability to learn long - term dependencies serves it well , giving it a substantial advantage over the plain RNN , and resulting in performance that is essentially equivalent to the lexicalized classifier on the test set ( LSTM performance near the stopping iteration varies by up to 0.5 % between evaluation steps ) .",result
A large annotated corpus for learning natural language inference,research-problem
"Thus , natural language inference ( NLI ) - characterizing and using these relations in computational systems ) - is essential in tasks ranging from information retrieval to semantic parsing to commonsense reasoning .",research-problem
"NLI has been addressed using a variety of techniques , including those based on symbolic logic , knowledge bases , and neural networks .",research-problem
"In these experimental results , we see that PAAG achieves a 111 % , 8 % and 62.73 % increment over the stateof - the - art baseline SNet in terms of BLEU , embedding greedy and consistency score , respectively .",result
"In , we see that our PAAG outperforms all the baseline significantly in semantic distance with respect to the ground truth .",result
"In , we can see that PAAG outperforms other baseline models in both sentence fluency and consistency with the facts .",result
"Although there is a small increment of S2 SAR with respect to S2SA in all metrics , we still find a noticeable gap between S2SAR and PAAG .",result
( 1 ) S2SA : Sequence - to - sequence framework has been proposed for language generation task .,baseline
( 2 ) S2SAR : We implement a simple method which can incorporate the review information when generating the answer .,baseline
( 3 ) SNet : S- Net is a two - stage state - of - the - art model which extracts some text spans from multiple documents context and synthesis the answer from those spans .,baseline
( 4 ) QS : We implement the query - based summarization model proposed by Hasselqvist et al ..,baseline
( 5 ) BM25 : BM25 is a bag - of - words retrieval function that ranks a set of reviews based on the question terms appearing in each review .,baseline
( 6 ) TF - IDF : Term Frequency - Inverse Document Frequency is a numerical statistic that is intended to reflect how important a question word is to a review .,baseline
"In this paper , we propose the product - aware answer generator ( PAAG ) , a product related question answering model which incorporates customer reviews with product attributes .",model
"Eventually , we propose a recurrent neural network ( RNN ) based decoder , which combines product - aware review representation and attributes to generate the answer .",model
"Specifically , at the beginning we employ an attention mechanism to model interactions between a question and reviews .",model
"Simultaneously , we employ a key - value memory network to store the product attributes and extract the relevance values according to the question .",model
"More importantly , to tackle the problem of meaningless answers , we propose an adversarial learning mechanism in the loss calculation for optimizing parameters .",model
Product - Aware Answer Generation in E - Commerce Question - Answering,research-problem
"In recent years , the explosive popularity of question - answering ( QA ) is revitalizing the task of reading comprehension with promising results .",research-problem
"We examine a simple model family , the decomposable attention model of , that has shown promise in modeling natural language inference and has inspired recent work on similar tasks .",approach
"First , to mitigate data sparsity , we modify the input representation of the decomposable attention model to use sums of character n-gram embeddings instead of word embeddings .",approach
"Second , to significantly improve our model performance , we pretrain all our model parameters on the noisy , automatically collected question - paraphrase corpus Paralex , followed by fine - tuning the parameters on the Quora dataset .",approach
"We observe that the simple FFNN baselines work better than more complex Siamese and Multi - Perspective CNN or LSTM models , more so if character n-gram based embeddings are used .",result
"Our basic decomposable attention model DECATT word without pre-trained embeddings is better than most of the models , all of which used GloVe embeddings .",result
An interesting observation is that DECATT char model without any pretrained embeddings outperforms DE - CATT glove that uses task - agnostic GloVe embeddings .,result
"Furthermore , when character n-gram embeddings are pre-trained in a task - specific manner in DECATT paralex ? char model , we observe a significant boost in performance .",result
"Finally , we note that our best performing model is pt - DECATT char , which leverages the full power of character embeddings and pretraining the model on Paralex .",result
"We tuned the following hyperparameters by grid search on the development set ( settings for our best model are in parenthesis ) : embedding dimension ( 300 ) , shape of all feedforward networks ( two layers with 400 and 200 width ) , character n -gram sizes ( 5 ) , context size ( 1 ) , learning rate ( 0.1 for both pretraining and tuning ) , batch size ( 256 for pretraining and 64 for tuning ) , dropout ratio ( 0.1 for tuning ) and prediction threshold ( positive paraphrase for a score ? 0.3 ) .",hyperparameter
Neural Paraphrase Identification of Questions with Noisy Pretraining,research-problem
We present a solution to the problem of paraphrase identification of questions .,research-problem
Question paraphrase identification is a widely useful NLP application .,research-problem
"Our multi-evidence QA model , the Coarse - grain Fine - grain Coattention Network ( CFC ) , selects among a set of candidate answers given a set of support documents and a query .",model
The CFC is inspired by coarse - grain reasoning and fine - grain reasoning .,model
Each module employs a novel hierarchical attention - a hierarchy of coattention and self - attention - to combine information from the support documents conditioned on the query and candidates .,model
"In coarse - grain reasoning , the model builds a coarse summary of support documents conditioned on the query without knowing what candidates are available , then scores each candidate .",model
"In fine - grain reasoning , the model matches specific finegrain contexts in which the candidate is mentioned with the query in order to gauge the relevance of the candidate .",model
COARSE - GRAIN FINE - GRAIN COATTENTION NET - WORK FOR MULTI - EVIDENCE QUESTION ANSWERING,research-problem
"End - to - end neural models have made significant progress in question answering , however recent studies show that these models implicitly assume that the answer and evidence appear close together in a single document .",research-problem
A requirement of scalable and practical question answering ( QA ) systems is the ability to reason over multiple documents and combine their information to answer questions .,research-problem
"Although existing datasets enabled the development of effective end - to - end neural question answering systems , they tend to focus on reasoning over localized sections of a single document .",research-problem
Both the coarse - grain module and the fine - grain module significantly contribute to model performance .,ablation-analysi
The fine - grain - only model under-performs the coarse - grain - only model consistently across almost all length measures .,ablation-analysi
"However , the fine - grain - only model matches or outperforms the coarse - grain - only model on examples with a large number of support documents or with long support documents .",ablation-analysi
Replacing selfattention layers with mean - pooling and the bidirectional GRUs with unidirectional GRUs result in less performance degradation .,ablation-analysi
"Replacing the encoder with a projection over word embeddings result in significant performance drop , which suggests that contextual encodings that capture positional information is crucial to this task .",ablation-analysi
"Despite not having access to any external representation of linguistic structure , RASOR achieves an error reduction of more than 50 % over this baseline , both in terms of exact match and F1 , relative to the human performance upper bound .",result
"In contrast , RASOR can efficiently and explicitly model the quadratic number of possible answers , which leads to a 14 % error reduction over the best performing Match - LSTM model .",result
"To overcome this , we present a novel neural architecture called RASOR that builds fixed - length span representations , reusing recurrent computations for shared substructures .",model
"We demonstrate that directly classifying each of the competing spans , and training with global normalization over all possible spans , leads to a significant increase in performance .",model
LEARNING RECURRENT SPAN REPRESENTATIONS FOR EXTRACTIVE QUESTION ANSWERING,research-problem
"In this paper , we focus on this answer extraction task , presenting a novel model architecture that efficiently builds fixed length representations of all spans in the evidence document with a recurrent network .",research-problem
"First , as an effort to study the coverage of existing systems and the possibility to train jointly on different data sources via multitasking , we collected the first large - scale dataset of questions and answers based on a KB , called SimpleQuestions .",dataset
"This dataset , which is presented in Section 2 , contains more than 100 k questions written by human anno-What American cartoonist is the creator of Andy Lippincott ?",dataset
"The embedding dimension and the learning rate were chosen among { 64 , 128 , 256 } and { 1 , 0.1 , ... , 1.0e ? 4 } respectively , and the margin ?was set to 0.1 .",hyperparameter
"Second , in sections 3 and 4 , we present an embedding - based QA system developed under the framework of Memory Networks ( Mem NNs ) .",model
"Memory Networks are learning systems centered around a memory component that can be read and written to , with a particular focus on cases where the relationship between the input and response languages ( here natural language ) and the storage language ( here , the facts from KBs ) is performed by embedding all of them in the same vector space .",model
The setting of the simple QA corresponds to the elementary operation of performing a single lookup in the memory .,model
Large - scale Simple Question Answering with Memory Networks,research-problem
Training large - scale question answering systems is complicated because training sources usually cover a small portion of the range of possible questions .,research-problem
"This paper studies the impact of multitask and transfer learning for simple question answering ; a setting for which the reasoning required to answer is quite easy , as long as one can retrieve the correct evidence given a question , which can be difficult in large - scale conditions .",research-problem
"However , while most recent efforts have focused on designing systems with higher reasoning capabilities , that could jointly retrieve and use multiple facts to answer , the simpler problem of answering questions that refer to a single fact of the KB , which we call Simple Question Answering in this paper , is still far from solved .",research-problem
"From the results , we can see that our models not only perform well on the original SQuAD dataset , but also outperform all previous models by more than 5 % in EM score on the adversarial datasets .",result
This shows that FusionNet is better at language understanding of both the context and question .,result
"To alleviate this challenge , we identify an attention scoring function utilizing all layers of representation with less training burden .",model
This leads to an attention that thoroughly captures the complete information between the question and the context .,model
"With this fully - aware attention , we put forward a multi -level attention mechanism to understand the information in the question , and exploit it layer by layer on the context side .",model
"All of these innovations are integrated into a new end - to - end structure called FusionNet in , with details described in Section 3 .",model
FUSIONNET : FUSING VIA FULLY - AWARE ATTENTION WITH APPLICATION TO MACHINE COMPREHENSION,research-problem
"Teaching machines to read , process and comprehend text and then answer questions is one of key problems in artificial intelligence .",research-problem
Many neural network models have been proposed for this challenge and they generally frame this problem as a machine reading comprehension ( MRC ) task .,research-problem
We argue that this hypothesis also holds in language understanding and MRC .,research-problem
DR - BiLSTM ( Single ) achieves 88.5 % accuracy on the test set which is noticeably the best reported result among the existing single models for this task .,result
"DR - BiLSTM ( Ensemble ) achieves the accuracy of 89.3 % , the best result observed on SNLI , while DR - BiLSTM ( Single ) obtains the accuracy of 88.5 % , which considerably outperforms the previous non-ensemble models .",result
Our ensemble model considerably outperforms the current state - of - the - art by obtaining 89.3 % accuracy .,result
We can see that our preprocessing mechanism leads to further improvements of 0.4 % and 0.3 % on the SNLI test set for our single and ensemble models respectively .,result
"In fact , our single model ( "" DR - BiLSTM ( Single ) + Process "" ) obtains the state - of - the - art performance over both reported single and ensemble models by performing a simple preprocessing step .",result
"Furthermore , "" DR - BiLSTM ( Ensem . ) + Process "" outperforms the existing state - of - the - art remarkably ( 0.7 % improvement ) .",result
"Also , utilizing a trivial preprocessing step yields to further improvements of 0.4 % and 0.3 % for single and ensemble DR - BiLSTM models respectively .",result
We use pre-trained 300 - D Glove 840B vectors to initialize our word embedding vectors .,hyperparameter
We use a fairly small batch size of 32 to provide more exploration power to the model .,hyperparameter
All hidden states of BiLSTMs during input encoding and inference have 450 dimensions ( r = 300 and d = 450 ) .,hyperparameter
"The weights are learned by minimizing the log - loss on the training data via the Adam optimizer ( Kingma and Ba , 2014 ) .",hyperparameter
The initial learning rate is 0.0004 .,hyperparameter
"To avoid overfitting , we use dropout with the rate of 0.4 for regularization , which is applied to all feedforward connections .",hyperparameter
"During training , the word embeddings are updated to learn effective representations for the NLI task .",hyperparameter
We propose a dependent reading bidirectional LSTM ( DR - BiLSTM ) model to address these limitations .,model
"Given a premise u and a hypothesis v , our model first encodes them considering dependency on each other .",model
"Next , the model employs a soft attention mechanism to extract relevant information from these encodings .",model
"The augmented sentence representations are then passed to the inference stage , which uses a similar dependent reading strategy in both directions , i.e. u ? v and v ? u .",model
"Finally , a decision is made through a multi - layer perceptron ( MLP ) based on the aggregated information .",model
DR- BiLSTM : Dependent Reading Bidirectional LSTM for Natural Language Inference,research-problem
We present a novel deep learning architecture to address the natural language inference ( NLI ) task .,research-problem
"The goal of NLI is to identify the logical relationship ( entailment , neutral , or contradiction ) between a premise and a corresponding hypothesis .",research-problem
We can see that all modifications lead to a new model and their differences are statistically significant with a p-value of < 0.001 over Chi square test .,ablation-analysi
"Among all components , three of them have noticeable influences : max pooling , difference in the attention stage , and dependent reading .",ablation-analysi
"They illustrate the importance of our proposed dependent reading strategy which leads to significant improvement , specifically in the encoding stage .",ablation-analysi
demonstrates that we achieve the best performance with 450 - dimensional BiLSTMs .,ablation-analysi
"The latest work on language representations carefully integrates contextualized features into language model training , which enables a series of success especially in various machine reading comprehension and natural language inference tasks .",research-problem
"Recently , deep contextual language model ( LM ) has been shown effective for learning universal language representations , achieving state - of - the - art results in a series of flagship natural language understanding ( NLU ) tasks .",research-problem
Our implementation is based on the PyTorch implementation of BERT 6 .,experimental-setup
"The batch size is selected in { 16 , 24 , 32 } .",experimental-setup
"The maximum number of epochs is set in [ 2 , 5 ] depending on tasks .",experimental-setup
"Texts are tokenized using wordpieces , with maximum length of 384 for SQuAD and 128 or 200 for other tasks .",experimental-setup
The dimension of SRL embedding is set to 10 .,experimental-setup
The default maximum number of predicateargument structures m is set to 3 .,experimental-setup
