subject,predicate,object,label,file path
Model,adopt,match - LSTM model,model,/content/training-data/natural_language_inference/68/triples/model.txt
Model,adopt,Pointer Net ( Ptr - Net ) model,model,/content/training-data/natural_language_inference/68/triples/model.txt
Pointer Net ( Ptr - Net ) model,enables,predictions,model,/content/training-data/natural_language_inference/68/triples/model.txt
predictions,of,tokens,model,/content/training-data/natural_language_inference/68/triples/model.txt
tokens,from,input sequence only,model,/content/training-data/natural_language_inference/68/triples/model.txt
Model,propose,two ways,model,/content/training-data/natural_language_inference/68/triples/model.txt
two ways,name,sequence model,model,/content/training-data/natural_language_inference/68/triples/model.txt
two ways,name,boundary model,model,/content/training-data/natural_language_inference/68/triples/model.txt
two ways,to apply,Ptr - Net model,model,/content/training-data/natural_language_inference/68/triples/model.txt
Ptr - Net model,for,our task,model,/content/training-data/natural_language_inference/68/triples/model.txt
Contribution,has research problem,MACHINE COMPREHENSION,research-problem,/content/training-data/natural_language_inference/68/triples/research-problem.txt
Contribution,has research problem,Machine comprehension of text,research-problem,/content/training-data/natural_language_inference/68/triples/research-problem.txt
Contribution,has,Experimental setup,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Experimental setup,use,ADAMAX,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
ADAMAX,with,coefficients,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
coefficients,to optimize,model,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
coefficients,has,? 1 = 0.9 and ? 2 = 0.999,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Experimental setup,use,word embeddings,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
word embeddings,to initialize,model,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
word embeddings,from,GloVe,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Experimental setup,has,dimensionality l,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
dimensionality l,set to be,150 or 300,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
dimensionality l,of,hidden layers,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Experimental setup,has,Words,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Words,not found in,Glo Ve,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Words,initialized as,zero vectors,experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Experimental setup,tokenize,"all the passages , questions and answers",experimental-setup,/content/training-data/natural_language_inference/68/triples/experimental-setup.txt
Contribution,has,Results,results,/content/training-data/natural_language_inference/68/triples/results.txt
Results,adding,Bi - Ans - Ptr,results,/content/training-data/natural_language_inference/68/triples/results.txt
Bi - Ans - Ptr,with,bi-directional pre-processing LSTM,results,/content/training-data/natural_language_inference/68/triples/results.txt
Bi - Ans - Ptr,get,1.2 % improvement,results,/content/training-data/natural_language_inference/68/triples/results.txt
1.2 % improvement,in,F1,results,/content/training-data/natural_language_inference/68/triples/results.txt
Results,has,our boundary model,results,/content/training-data/natural_language_inference/68/triples/results.txt
our boundary model,achieving,exact match score,results,/content/training-data/natural_language_inference/68/triples/results.txt
exact match score,of,61.1 %,results,/content/training-data/natural_language_inference/68/triples/results.txt
our boundary model,achieving,F1 score,results,/content/training-data/natural_language_inference/68/triples/results.txt
F1 score,of,71.2 %,results,/content/training-data/natural_language_inference/68/triples/results.txt
our boundary model,has,outperformed,results,/content/training-data/natural_language_inference/68/triples/results.txt
outperformed,has,sequence model,results,/content/training-data/natural_language_inference/68/triples/results.txt
Results,in terms of,exact match score,results,/content/training-data/natural_language_inference/68/triples/results.txt
exact match score,has,boundary model,results,/content/training-data/natural_language_inference/68/triples/results.txt
boundary model,has,clear advantage,results,/content/training-data/natural_language_inference/68/triples/results.txt
clear advantage,over,sequence model,results,/content/training-data/natural_language_inference/68/triples/results.txt
Contribution,Code,https://github.com/soskek/der-network,code,/content/training-data/natural_language_inference/82/triples/code.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
Hyperparameters,For,preprocessing,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
preprocessing,segment,sentences,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
preprocessing,segment,punctuation marks,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
punctuation marks,has,.,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
punctuation marks,has,!,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
punctuation marks,has,?,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
Hyperparameters,train,model,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
model,with,hyper - parameters,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
hyper - parameters,has,lightly tuned,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
lightly tuned,on,validation set,hyperparameters,/content/training-data/natural_language_inference/82/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/natural_language_inference/82/triples/model.txt
Model,implement,reader,model,/content/training-data/natural_language_inference/82/triples/model.txt
reader,dynamically builds,meaning representations,model,/content/training-data/natural_language_inference/82/triples/model.txt
meaning representations,for,each entity,model,/content/training-data/natural_language_inference/82/triples/model.txt
meaning representations,by gathering and accumulating,information,model,/content/training-data/natural_language_inference/82/triples/model.txt
information,as it reads,document,model,/content/training-data/natural_language_inference/82/triples/model.txt
information,on,entity,model,/content/training-data/natural_language_inference/82/triples/model.txt
Contribution,has research problem,Machine Reading,research-problem,/content/training-data/natural_language_inference/82/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/natural_language_inference/82/triples/results.txt
Results,note that,initializing,results,/content/training-data/natural_language_inference/82/triples/results.txt
initializing,has,our model,results,/content/training-data/natural_language_inference/82/triples/results.txt
our model,with,pre-trained word vectors,results,/content/training-data/natural_language_inference/82/triples/results.txt
pre-trained word vectors,is,helpful,results,/content/training-data/natural_language_inference/82/triples/results.txt
Results,note that,our model,results,/content/training-data/natural_language_inference/82/triples/results.txt
our model,shows,best results,results,/content/training-data/natural_language_inference/82/triples/results.txt
best results,compared to,several previous reader models,results,/content/training-data/natural_language_inference/82/triples/results.txt
our model,name,full DER Network,results,/content/training-data/natural_language_inference/82/triples/results.txt
Results,has,99 % confidence intervals,results,/content/training-data/natural_language_inference/82/triples/results.txt
99 % confidence intervals,of,results,results,/content/training-data/natural_language_inference/82/triples/results.txt
results,of,full DER Network and the one initialized by word2vec,results,/content/training-data/natural_language_inference/82/triples/results.txt
full DER Network and the one initialized by word2vec,were,"[ 0.700 , 0.740 ]",results,/content/training-data/natural_language_inference/82/triples/results.txt
full DER Network and the one initialized by word2vec,were,"[ 0.708 , 0.749 ]",results,/content/training-data/natural_language_inference/82/triples/results.txt
full DER Network and the one initialized by word2vec,on,test set,results,/content/training-data/natural_language_inference/82/triples/results.txt
Results,has,Max - pooling,results,/content/training-data/natural_language_inference/82/triples/results.txt
Max - pooling,has,drastically improves,results,/content/training-data/natural_language_inference/82/triples/results.txt
drastically improves,has,performance,results,/content/training-data/natural_language_inference/82/triples/results.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/natural_language_inference/25/triples/hyperparameters.txt
Hyperparameters,use,pre-trained GloVe embeddings,hyperparameters,/content/training-data/natural_language_inference/25/triples/hyperparameters.txt
pre-trained GloVe embeddings,of dimension d,w = 300,hyperparameters,/content/training-data/natural_language_inference/25/triples/hyperparameters.txt
Hyperparameters,produce,character - based word representations,hyperparameters,/content/training-data/natural_language_inference/25/triples/hyperparameters.txt
character - based word representations,via,dc = 100,hyperparameters,/content/training-data/natural_language_inference/25/triples/hyperparameters.txt
dc = 100,has,convolutional filters,hyperparameters,/content/training-data/natural_language_inference/25/triples/hyperparameters.txt
convolutional filters,over,character embeddings,hyperparameters,/content/training-data/natural_language_inference/25/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/natural_language_inference/25/triples/model.txt
Model,take,model,model,/content/training-data/natural_language_inference/25/triples/model.txt
model,carries out,only basic question - document interaction,model,/content/training-data/natural_language_inference/25/triples/model.txt
only basic question - document interaction,prepend to,module,model,/content/training-data/natural_language_inference/25/triples/model.txt
module,that produces,token embeddings,model,/content/training-data/natural_language_inference/25/triples/model.txt
token embeddings,by,explicitly gating,model,/content/training-data/natural_language_inference/25/triples/model.txt
explicitly gating,between,contextual and non-contextual representations,model,/content/training-data/natural_language_inference/25/triples/model.txt
Model,turn to,semisupervised setting,model,/content/training-data/natural_language_inference/25/triples/model.txt
semisupervised setting,leverage,language model,model,/content/training-data/natural_language_inference/25/triples/model.txt
language model,pre-trained on,large amounts of data,model,/content/training-data/natural_language_inference/25/triples/model.txt
large amounts of data,as,sequence encoder,model,/content/training-data/natural_language_inference/25/triples/model.txt
sequence encoder,forcibly facilitates,context utilization,model,/content/training-data/natural_language_inference/25/triples/model.txt
Contribution,has research problem,Reading Comprehension,research-problem,/content/training-data/natural_language_inference/25/triples/research-problem.txt
Contribution,has research problem,Reading comprehension ( RC ,research-problem,/content/training-data/natural_language_inference/25/triples/research-problem.txt
Contribution,has research problem,RC,research-problem,/content/training-data/natural_language_inference/25/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/natural_language_inference/25/triples/results.txt
Results,has,performance,results,/content/training-data/natural_language_inference/25/triples/results.txt
performance,due to,utilizing,results,/content/training-data/natural_language_inference/25/triples/results.txt
utilizing,has,LM hidden states,results,/content/training-data/natural_language_inference/25/triples/results.txt
LM hidden states,of,first LSTM layer,results,/content/training-data/natural_language_inference/25/triples/results.txt
LM hidden states,has,significantly surpasses,results,/content/training-data/natural_language_inference/25/triples/results.txt
significantly surpasses,has,other two variants,results,/content/training-data/natural_language_inference/25/triples/results.txt
Results,has,less frequent,results,/content/training-data/natural_language_inference/25/triples/results.txt
less frequent,is,word - type,results,/content/training-data/natural_language_inference/25/triples/results.txt
word - type,has,gate activations,results,/content/training-data/natural_language_inference/25/triples/results.txt
gate activations,are,smaller,results,/content/training-data/natural_language_inference/25/triples/results.txt
Results,showing,benefit,results,/content/training-data/natural_language_inference/25/triples/results.txt
benefit,of,training,results,/content/training-data/natural_language_inference/25/triples/results.txt
training,in,semisupervised fashion,results,/content/training-data/natural_language_inference/25/triples/results.txt
semisupervised fashion,with,large language model,results,/content/training-data/natural_language_inference/25/triples/results.txt
training,has,QA model,results,/content/training-data/natural_language_inference/25/triples/results.txt
training,observe,significant improvement,results,/content/training-data/natural_language_inference/25/triples/results.txt
Results,observe,superior performance,results,/content/training-data/natural_language_inference/25/triples/results.txt
superior performance,illustrating,benefit,results,/content/training-data/natural_language_inference/25/triples/results.txt
benefit,of,contextualization,results,/content/training-data/natural_language_inference/25/triples/results.txt
superior performance,by,contextual one,results,/content/training-data/natural_language_inference/25/triples/results.txt
Results,Supplementing,calculation,results,/content/training-data/natural_language_inference/25/triples/results.txt
calculation,of,token reembeddings,results,/content/training-data/natural_language_inference/25/triples/results.txt
token reembeddings,with,hidden states,results,/content/training-data/natural_language_inference/25/triples/results.txt
hidden states,of,strong language model,results,/content/training-data/natural_language_inference/25/triples/results.txt
token reembeddings,proves to be,highly effective,results,/content/training-data/natural_language_inference/25/triples/results.txt
Contribution,has,Model,model,/content/training-data/natural_language_inference/90/triples/model.txt
Model,relies on,alignment,model,/content/training-data/natural_language_inference/90/triples/model.txt
Model,apply,intra-sentence attention,model,/content/training-data/natural_language_inference/90/triples/model.txt
intra-sentence attention,to endow,model,model,/content/training-data/natural_language_inference/90/triples/model.txt
model,with,richer encoding,model,/content/training-data/natural_language_inference/90/triples/model.txt
richer encoding,prior to,alignment step,model,/content/training-data/natural_language_inference/90/triples/model.txt
richer encoding,of,substructures,model,/content/training-data/natural_language_inference/90/triples/model.txt
Model,Given,two sentences,model,/content/training-data/natural_language_inference/90/triples/model.txt
two sentences,use,( soft ) alignment,model,/content/training-data/natural_language_inference/90/triples/model.txt
 soft ) alignment,to decompose,task,model,/content/training-data/natural_language_inference/90/triples/model.txt
task,into,subproblems,model,/content/training-data/natural_language_inference/90/triples/model.txt
two sentences,create,soft alignment matrix,model,/content/training-data/natural_language_inference/90/triples/model.txt
soft alignment matrix,using,neural attention,model,/content/training-data/natural_language_inference/90/triples/model.txt
two sentences,has,each word,model,/content/training-data/natural_language_inference/90/triples/model.txt
each word,repre-sented by,embedding vector,model,/content/training-data/natural_language_inference/90/triples/model.txt
two sentences,has,results,model,/content/training-data/natural_language_inference/90/triples/model.txt
results,of,subproblems,model,/content/training-data/natural_language_inference/90/triples/model.txt
results,has,merged,model,/content/training-data/natural_language_inference/90/triples/model.txt
merged,to produce,final classification,model,/content/training-data/natural_language_inference/90/triples/model.txt
Model,has,fully computationally decomposable,model,/content/training-data/natural_language_inference/90/triples/model.txt
fully computationally decomposable,with respect to,input text,model,/content/training-data/natural_language_inference/90/triples/model.txt
Contribution,has research problem,Natural Language Inference,research-problem,/content/training-data/natural_language_inference/90/triples/research-problem.txt
Contribution,has research problem,Natural language inference ( NLI ,research-problem,/content/training-data/natural_language_inference/90/triples/research-problem.txt
Contribution,has research problem,NLI,research-problem,/content/training-data/natural_language_inference/90/triples/research-problem.txt
Contribution,has,Experimental setup,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,implemented in,TensorFlow,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,use,300 dimensional GloVe embeddings,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
300 dimensional GloVe embeddings,to represent,words,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,has,Each hyperparameter setting,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Each hyperparameter setting,using,Adagrad,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Adagrad,with,default initial accumulator value,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
default initial accumulator value,of,0.1,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Adagrad,for,optimization,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Each hyperparameter setting,run on,single machine,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
single machine,with,10 asynchronous gradient - update threads,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,has,Each embedding vector,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Each embedding vector,has,projected down,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
projected down,to,200 dimensions,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Each embedding vector,has,normalized,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
normalized,to have,2 norm of 1,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,has,Out - of - vocabulary ( OOV ) words,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Out - of - vocabulary ( OOV ) words,hashed to,one of 100 random embeddings,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
one of 100 random embeddings,initialized to,mean 0,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
one of 100 random embeddings,initialized to,standard deviation 1,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,has,other parameter weights ( hidden layers etc. ,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
other parameter weights ( hidden layers etc. ),initialized from,random Gaussians,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
random Gaussians,with,mean 0,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
random Gaussians,with,standard deviation 0.01,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,has,dropout ratio,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
dropout ratio,has,0.2,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,has,learning rate,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
learning rate,has,intra-attention,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
intra-attention,has,0.025,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
learning rate,has,vanilla,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
vanilla,has,0.05,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Experimental setup,has,Dropout regularization,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Dropout regularization,used for,all ReLU layers,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
all ReLU layers,not for,final linear layer,experimental-setup,/content/training-data/natural_language_inference/90/triples/experimental-setup.txt
Contribution,has,Results,results,/content/training-data/natural_language_inference/90/triples/results.txt
Results,Adding,intra-sentence attention,results,/content/training-data/natural_language_inference/90/triples/results.txt
intra-sentence attention,gives,considerable improvement,results,/content/training-data/natural_language_inference/90/triples/results.txt
considerable improvement,of,0.5 percentage points,results,/content/training-data/natural_language_inference/90/triples/results.txt
0.5 percentage points,over,existing state of the art,results,/content/training-data/natural_language_inference/90/triples/results.txt
Results,has,Our vanilla approach,results,/content/training-data/natural_language_inference/90/triples/results.txt
Our vanilla approach,achieves,state - of - theart results,results,/content/training-data/natural_language_inference/90/triples/results.txt
state - of - theart results,with,almost an order of magnitude fewer parameters,results,/content/training-data/natural_language_inference/90/triples/results.txt
almost an order of magnitude fewer parameters,than,LSTMN,results,/content/training-data/natural_language_inference/90/triples/results.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
Hyperparameters,set,NNM - 2,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
NNM - 2,has,word embedding dimension,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
word embedding dimension,as,700,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
NNM - 2,has,number of bins,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
number of bins,as,200,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
Hyperparameters,set,NNM - 1,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
NNM - 1,has,word embedding dimension,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
word embedding dimension,as,700,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
NNM - 1,has,number of bins,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
number of bins,as,600,hyperparameters,/content/training-data/natural_language_inference/100/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/natural_language_inference/100/triples/model.txt
Model,has,Deep neural network with value - shared weights,model,/content/training-data/natural_language_inference/100/triples/model.txt
Deep neural network with value - shared weights,introduce,novel value - shared weighting scheme,model,/content/training-data/natural_language_inference/100/triples/model.txt
novel value - shared weighting scheme,in,deep neural networks,model,/content/training-data/natural_language_inference/100/triples/model.txt
Model,has,Incorporate attention scheme over question terms,model,/content/training-data/natural_language_inference/100/triples/model.txt
Incorporate attention scheme over question terms,incorporate,attention scheme,model,/content/training-data/natural_language_inference/100/triples/model.txt
attention scheme,over,question terms,model,/content/training-data/natural_language_inference/100/triples/model.txt
question terms,using,gating function,model,/content/training-data/natural_language_inference/100/triples/model.txt
Model,propose,attention based neural matching model ( a NMM ,model,/content/training-data/natural_language_inference/100/triples/model.txt
Contribution,has research problem,question answering,research-problem,/content/training-data/natural_language_inference/100/triples/research-problem.txt
Contribution,has research problem,Question answering ( QA ,research-problem,/content/training-data/natural_language_inference/100/triples/research-problem.txt
Contribution,has research problem,QA,research-problem,/content/training-data/natural_language_inference/100/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/natural_language_inference/100/triples/results.txt
Results,see,NMM,results,/content/training-data/natural_language_inference/100/triples/results.txt
NMM,beats,all the previous state - of - the art systems,results,/content/training-data/natural_language_inference/100/triples/results.txt
all the previous state - of - the art systems,including,both methods,results,/content/training-data/natural_language_inference/100/triples/results.txt
both methods,using,feature engineering and deep learning models,results,/content/training-data/natural_language_inference/100/triples/results.txt
NMM,trained with,TRAIN - ALL set,results,/content/training-data/natural_language_inference/100/triples/results.txt
Results,without combining,additional features,results,/content/training-data/natural_language_inference/100/triples/results.txt
additional features,has,NMM,results,/content/training-data/natural_language_inference/100/triples/results.txt
NMM,performs,well,results,/content/training-data/natural_language_inference/100/triples/results.txt
well,for,answer ranking,results,/content/training-data/natural_language_inference/100/triples/results.txt
well,showing,significant improvements,results,/content/training-data/natural_language_inference/100/triples/results.txt
significant improvements,over,previous deep learning model,results,/content/training-data/natural_language_inference/100/triples/results.txt
previous deep learning model,with no,additional features,results,/content/training-data/natural_language_inference/100/triples/results.txt
previous deep learning model,with no,linguistic feature engineering methods,results,/content/training-data/natural_language_inference/100/triples/results.txt
Contribution,has,Ablation analysis,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
Ablation analysis,achieve,improvement,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
improvement,of,nearly 3 points,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
nearly 3 points,without,yes / no classification,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
Ablation analysis,For,ablation,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
ablation,of,content model,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
content model,has,analyze,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
analyze,violate,verification model,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
analyze,not only affect,content score itself,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
Ablation analysis,see that,answer verification,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
answer verification,makes,great contribution,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
great contribution,confirms,our hypothesis,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
our hypothesis,that,cross - passage answer verification,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
cross - passage answer verification,has,useful,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
useful,for,multi-passage MRC,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
great contribution,to,over all improvement,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
Ablation analysis,jointly training,three models,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
three models,provide,great benefits,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
great benefits,shows that,three tasks,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
three tasks,can,boost,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
boost,has,each other,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
each other,with,shared representations,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
shared representations,at,bottom layers,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
three tasks,are,closely related,ablation-analysis,/content/training-data/natural_language_inference/95/triples/ablation-analysis.txt
Contribution,has,Model,model,/content/training-data/natural_language_inference/95/triples/model.txt
Model,consists of,three modules,model,/content/training-data/natural_language_inference/95/triples/model.txt
three modules,conduct,answer verification,model,/content/training-data/natural_language_inference/95/triples/model.txt
answer verification,by enabling,each answer candidate,model,/content/training-data/natural_language_inference/95/triples/model.txt
each answer candidate,to attend,other candidates,model,/content/training-data/natural_language_inference/95/triples/model.txt
other candidates,based on,their representations,model,/content/training-data/natural_language_inference/95/triples/model.txt
three modules,use,content scores,model,/content/training-data/natural_language_inference/95/triples/model.txt
content scores,to measure,quality,model,/content/training-data/natural_language_inference/95/triples/model.txt
quality,of,candidates,model,/content/training-data/natural_language_inference/95/triples/model.txt
three modules,model,meanings,model,/content/training-data/natural_language_inference/95/triples/model.txt
meanings,of,answer candidates,model,/content/training-data/natural_language_inference/95/triples/model.txt
answer candidates,extracted from,those passages,model,/content/training-data/natural_language_inference/95/triples/model.txt
three modules,follow,boundary - based MRC models,model,/content/training-data/natural_language_inference/95/triples/model.txt
boundary - based MRC models,to find,answer candidate,model,/content/training-data/natural_language_inference/95/triples/model.txt
answer candidate,by identifying,start and end position,model,/content/training-data/natural_language_inference/95/triples/model.txt
start and end position,of,answer,model,/content/training-data/natural_language_inference/95/triples/model.txt
answer candidate,for,each passage,model,/content/training-data/natural_language_inference/95/triples/model.txt
Model,has,final answer,model,/content/training-data/natural_language_inference/95/triples/model.txt
final answer,determined by,three factors,model,/content/training-data/natural_language_inference/95/triples/model.txt
three factors,modeled using,different modules,model,/content/training-data/natural_language_inference/95/triples/model.txt
different modules,can be,jointly trained,model,/content/training-data/natural_language_inference/95/triples/model.txt
jointly trained,in,our end - to - end framework,model,/content/training-data/natural_language_inference/95/triples/model.txt
three factors,has,boundary,model,/content/training-data/natural_language_inference/95/triples/model.txt
three factors,has,content,model,/content/training-data/natural_language_inference/95/triples/model.txt
three factors,has,crosspassage answer verification,model,/content/training-data/natural_language_inference/95/triples/model.txt
Contribution,has research problem,Multi - Passage Machine Reading Comprehension,research-problem,/content/training-data/natural_language_inference/95/triples/research-problem.txt
Contribution,has research problem,Machine reading comprehension ( MRC ,research-problem,/content/training-data/natural_language_inference/95/triples/research-problem.txt
Contribution,has research problem,MRC,research-problem,/content/training-data/natural_language_inference/95/triples/research-problem.txt
Contribution,has,Experimental setup,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
Experimental setup,For,MS - MARCO,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
MS - MARCO,employ,300 - D pre-trained Glove embeddings,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
300 - D pre-trained Glove embeddings,has,fixed,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
fixed,during,training,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
MS - MARCO,preprocess,corpus,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
corpus,with,reversible tokenizer,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
reversible tokenizer,from,Stanford CoreNLP,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
MS - MARCO,has,character embeddings,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
character embeddings,with,dimension,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
dimension,as,30,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
character embeddings,are,randomly initialized,experimental-setup,/content/training-data/natural_language_inference/95/triples/experimental-setup.txt
Contribution,has,Results,results,/content/training-data/natural_language_inference/95/triples/results.txt
Results,on,DuReader,results,/content/training-data/natural_language_inference/95/triples/results.txt
DuReader,see that,paragraph ranking,results,/content/training-data/natural_language_inference/95/triples/results.txt
paragraph ranking,boost,BiDAF baseline,results,/content/training-data/natural_language_inference/95/triples/results.txt
paragraph ranking,boost,significantly,results,/content/training-data/natural_language_inference/95/triples/results.txt
